,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
453,A1,Petrol,1.4L,Manual,"40,898 miles",5.0,123 bhp,2016 (66),55.4,Hatchback,118 g/km,SILVER,2.0,Euro 6,£199,"£12,500",04-12-2021,,
454,A1,Petrol,1.4L,Manual,"46,518 miles",5.0,123 bhp,2015 (65),55.4,Hatchback,119 g/km,GREY,2.0,Euro 6,£199,"£12,500",23-08-2022,,
455,A1,Petrol,1.0L,Manual,"32,792 miles",5.0,93 bhp,2017 (67),67.3,Hatchback,97 g/km,WHITE,2.0,Euro 6,£199,"£12,500",03-09-2022,,
456,A1,Petrol,1.4L,Manual,"34,049 miles",3.0,123 bhp,2016 (16),57.7,Hatchback,115 g/km,GREY,2.0,Euro 6,£199,"£12,400",12-02-2022,,
457,A1,Petrol,1.4L,Automatic,"38,526 miles",3.0,185 bhp,2014 (14),47.9,Hatchback,139 g/km,RED,2.0,Euro 5,£199,"£12,400",16-02-2022,,
458,A1,Petrol,1.0L,Manual,"46,374 miles",5.0,93 bhp,2017 (67),67.3,Hatchback,97 g/km,WHITE,1.0,Euro 6,£199,"£12,300",30-10-2022,,
459,A1,Diesel,1.6L,Manual,"32,162 miles",5.0,114 bhp,2016 (66),76.4,Hatchback,97 g/km,BLACK,2.0,Euro 6,£199,"£12,100",15-05-2022,,
460,A1,Petrol,1.4L,Manual,"41,154 miles",3.0,123 bhp,2016 (66),57.7,Hatchback,115 g/km,BLACK,1.0,Euro 6,£199,"£12,100",26-10-2021,,
461,A3,Diesel,1.6L,Manual,"79,289 miles",4.0,114 bhp,2017 (17),68.9,Saloon,107 g/km,BLUE,1.0,Euro 6,£199,"£12,000",06-08-2022,,
462,A1,Petrol,1.4L,Manual,"51,022 miles",3.0,148 bhp,2015 (15),58.9,Hatchback,112 g/km,WHITE,,Euro 6,£199,"£11,900",26-01-2022,,
463,A4,Diesel,2.0L,Manual,"61,707 miles",5.0,174 bhp,2015 (15),58.9,Estate,126 g/km,BLUE,2.0,,£199,"£11,750",,,Euro 5
464,A3,Diesel,1.6L,Manual,"73,890 miles",5.0,114 bhp,2017 (17),70.6,Hatchback,106 g/km,BLUE,1.0,Euro 6,£199,"£11,500",28-08-2022,,
465,A1,Diesel,1.6L,Manual,"54,683 miles",5.0,103 bhp,2014 (64),74.3,Hatchback,99 g/km,FLORET SILVER,2.0,,£199,"£11,000",13-08-2022,,Euro 5
466,A3,Diesel,2.0L,Manual,"44,319 miles",5.0,148 bhp,2015 (15),68.9,Hatchback,106 g/km,SILVER,2.0,Euro 6,£199,"£11,000",14-10-2022,,
467,A1,Petrol,1.0L,Manual,"49,163 miles",3.0,93 bhp,2016 (66),67.3,Hatchback,97 g/km,SILVER,,Euro 6,£199,"£10,800",,,
468,A1,Petrol,1.4L,Manual,"41,286 miles",3.0,123 bhp,2015 (15),57.7,Hatchback,115 g/km,BLACK,2.0,Euro 6,£199,"£10,600",08-06-2022,,
469,A1,Diesel,2.0L,Manual,"66,338 miles",3.0,143 bhp,2014 (64),68.9,Hatchback,108 g/km,WHITE,2.0,,£199,"£10,500",02-02-2022,,Euro 5
470,A1,Petrol,1.0L,Manual,"36,456 miles",5.0,93 bhp,2015 (65),67.3,Hatchback,97 g/km,SILVER,,Euro 6,£199,"£10,500",18-11-2021,,
471,A1,Petrol,1.0L,Manual,"51,153 miles",3.0,93 bhp,2015 (65),67.3,Hatchback,97 g/km,BLACK,2.0,Euro 6,£199,"£9,600",14-10-2021,,
